"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","Link","SiteId"
"USGS","394117074214001","U.S. Geological Survey","291404-- StaffForge MW57","39.68817453328220068442533375","-74.36070124821209503807040164","NAD27","North American Datum of 1927","S","50","1","Feet","NGVD29","M","5.0","17.30000000000000071054273576","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","029","Ocean County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394117074214001","USGS-394117074214001"
"USGS","395900074242801","U.S. Geological Survey","291405-- Manchester MW62","39.98356666666669667620226392","-74.40696666666670466838695575","NAD83","North American Datum of 1983","5","126","1","Feet","NAVD88","N","1.6","18","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","029","Ocean County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/395900074242801","USGS-395900074242801"
"USGS","393301074591601","U.S. Geological Survey","151481-- B Bell PW5 MW35","39.55039343488289915740097058","-74.98739429156539415544102667","NAD27","North American Datum of 1927","S","116","1","Feet","NGVD29","M","5.0","13.5","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","015","Gloucester County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/393301074591601","USGS-393301074591601"
"USGS","393940074534201","U.S. Geological Survey","070842-- Und09 MW53","39.66091666666670079166578944","-74.89486111111109778448735597","NAD83","North American Datum of 1983","5","100","1","Feet","NGVD29","M","5.0","14","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","007","Camden County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/393940074534201","USGS-393940074534201"
"USGS","393129074383201","U.S. Geological Survey","011401-- Egg Harbor MW55","39.52497820044460041799538885","-74.64196396691029633529979037","NAD27","North American Datum of 1927","S","56","1","Feet","NGVD29","M","5.0","25.64999999999999857891452848","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","001","Atlantic County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/393129074383201","USGS-393129074383201"
"USGS","394507075023801","U.S. Geological Survey","151260-- Nu30","39.75247222222220244702839409","-75.04305555555559692493261537","NAD83","North American Datum of 1983","5","144","1","Feet","NGVD29","M","5.0","52","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","015","Gloucester County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjlusrc1 Network","1","Yes","1","Yes","3","Known Changes","3","Special","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394507075023801","USGS-394507075023801"
"USGS","392328074315401","U.S. Geological Survey","011403-- Plsntville MW49","39.39122770583050225923216203","-74.53126476056219473775854567","NAD27","North American Datum of 1927","S","29","1","Feet","NGVD29","M","5.0","23","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","001","Atlantic County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/392328074315401","USGS-392328074315401"
"USGS","394254074590501","U.S. Geological Survey","070888-- Nu19","39.71513888888890164707845543","-74.98416666666669527785415994","NAD83","North American Datum of 1983","5","145","1","Feet","NGVD29","M","5.0","29","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","007","Camden County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjlusrc1 Network","1","Yes","1","Yes","3","Known Changes","3","Special","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394254074590501","USGS-394254074590501"
"USGS","400202074461301","U.S. Geological Survey","051481-- Springfield MW6","40.03400028198240079291281290","-74.76988391887759632936649723","NAD27","North American Datum of 1927","S","43","1","Feet","NGVD29","M","10.0","12","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","005","Burlington County","Englishtown Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/400202074461301","USGS-400202074461301"
"USGS","394018074590801","U.S. Geological Survey","151219-- Nu09","39.67291666666670124641314032","-74.98586111111110596993967192","NAD83","North American Datum of 1983","5","145","1","Feet","NGVD29","M","5.0","31","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","015","Gloucester County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjlusrc1 Network","1","Yes","1","Yes","3","Known Changes","3","Special","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394018074590801","USGS-394018074590801"
